"Date","Name","Replicate","Time_min","N2O_nmol","f","delta_p","delta_alpha","delta_beta","delta_o","SP","N_s0","sample_N2O_nmol","sd_sample_nmol","sample_V","N2O_nmol_rxn_bottle","sd_N2O_nmol","sd_f","N_p","N_s","one_minus_f","-flnf/(1-f)","R_std","R_p","R_alpha","R_beta","14N_p","15N_p","14N_alpha","15N_alpha","tau"
NA,"time_0","time_0",0,0,1,NA,NA,NA,NA,NA,10292.4,NA,NA,NA,NA,NA,NA,0,10292.4,0,NA,0.0036765,NA,NA,NA,NA,NA,NA,NA,NA
"2/23/2017","cNOR Rep 1-1","1",40,1218.512878,0.763220917,-47.33926,-43.00249,-51.69416,11.34185,8.69167,10292.4,11.59,0.86,1.4,1218.512878,90.90013354,0.057502808,2437.025756,7855.374244,0.236779083,0.870973085300039,0.0036765,0.00350245721061,0.003518401345515,0.00348644642076,2428.51996872443,8.50578727556925,1214.24069191578,4.27218608421556,0.499992055883139
"2/23/2017","cNOR Rep 1-3","1",120,3074.239574,0.402619669,-45.3871,-41.93894,-48.85348,15.30189,6.91455,10292.4,18.73,0.95,0.9,3062.650456,158.4414495,0.021181094,6148.479148,4143.920852,0.597380331,0.613157855223663,0.0036765,0.00350963432685,0.00352231148709,0.00349689018078,6126.97570375034,21.5034442496581,3063.44915186228,10.7904221377206,0.499993683667969
"2/23/2017","cNOR Rep 1-4","1",160,3403.935994,0.338553693,-44.87248,-43.61052,-46.15268,16.68382,2.54216,10292.4,18.33,0.93,0.8,3373.621433,175.610608,0.017827958,6807.871988,3484.528012,0.661446307,0.554358256244851,0.0036765,0.00351152632728,0.00351616592322,0.00350681967198,6784.04961915676,23.8223688432428,3392.00912709605,11.9268669039464,0.499997688330244
"2/23/2017","cNOR  Rep 1-5","1",200,3421.414936,0.335157219,-44.68041,-44.34279,-45.03627,17.52831,0.69348,10292.4,16.04,0.87,0.7,3372.765475,186.7819244,0.01863577,6842.829872,3449.570128,0.664842781,0.551076109225667,0.0036765,0.003512232472635,0.003513473732565,0.003510924153345,6818.88037890619,23.949493093808,3409.43597226857,11.9789637314278,0.499999381542968
"2/23/2017","cNOR Rep 1-6","1",240,3813.760828,0.258917318,-44.56384,-44.11798,-45.02794,17.67108,0.90996,10292.4,15.28,0.86,0.6,3749.072401,214.4012698,0.014810105,7627.521656,2664.878344,0.741082682,0.472094584330192,0.0036765,0.00351266104224,0.00351430024653,0.00351095477859,7600.82254276505,26.6991132349504,3800.40506354826,13.3557644517415,0.499999183268096
"2/28/2017","cNOR Rep 2-1","2",40,1081.992422,0.78974931,-48.44318,-45.50741,-50.03428,8.80855,4.52687,10292.4,10.29,0.52,1.4,1081.992422,55.72692604,0.041520647,2163.984844,8128.415156,0.21025069,0.886618733427363,0.0036765,0.00349839864873,0.003509192007135,0.00349254896958,2156.44075457812,7.54408942188239,1078.20878036592,3.78364163408285,0.499994622192556
"2/28/2017","cNOR Rep 2-2","2",80,2258.364914,0.561158866,-47.28041,-46.38048,-48.45594,11.51486,2.07545,10292.4,16.8,0.48,1.1,2248.074225,68.69305859,0.018067376,4516.729828,5775.670172,0.438841134,0.738787228244471,0.0036765,0.003502673572635,0.00350598216528,0.00349835173659,4500.96441887862,15.7654091213766,2250.47478952452,7.89012447548521,0.499998351483347
"2/28/2017","cNOR Rep 2-3","2",120,3262.653784,0.366007381,-45.7639,-45.7601,-46.78597,14.38368,1.02587,10292.4,19.78,0.5,0.9,3235.563627,88.98868521,0.010704297,6525.307568,3767.092432,0.633992619,0.580250713949113,0.0036765,0.00350824902165,0.00350826299235,0.003504491381295,6502.49519559178,22.8123724082187,3251.24755253248,11.4062314675182,0.499999993039071
"2/28/2017","cNOR Rep 3-1","3",40,1038.600563,0.798181133,-47.62224,-45.52452,-48.27259,9.21578,2.74807,10292.4,9.88,0.52,1.4,1038.600563,56.23925676,0.044034254,2077.201126,8215.198874,0.201818867,0.891521060652863,0.0036765,0.00350141683464,0.00350912910222,0.003499025822865,2069.95335647073,7.2477695292662,1034.96872413027,3.63183886973302,0.499996157350563
"2/28/2017","cNOR Rep 3-2","3",80,1787.742252,0.652609358,-47.75001,-46.31321,-48.58771,10.52665,2.27449,10292.4,13.29,0.49,1.1,1777.864257,67.95177732,0.025744265,3575.484504,6716.915496,0.347390642,0.801744031445541,0.0036765,0.003500947088235,0.003506229483435,0.003497867284185,3563.01059244104,12.4739115589569,1781.49591848599,6.24633351401468,0.499997368030688
"2/28/2017","cNOR Rep 3-3","3",120,2655.098315,0.484066393,-47.03761,-45.95798,-48.21673,12.31779,2.25875,10292.4,16.09,0.48,0.9,2631.93465,83.32196061,0.01602717,5310.19663,4982.20337,0.515933607,0.680719839318372,0.0036765,0.003503566226835,0.00350753548653,0.003499231192155,5291.65695939307,18.539670606926,2645.81801442351,9.2803005764908,0.499998022306981
"2/28/2017","cNOR Rep 3-4","3",160,2954.620685,0.425863781,-46.00098,-45.61111,-46.42875,14.18808,0.81763,10292.4,15.84,0.48,0.8,2915.365029,93.54662789,0.014212884,5909.24137,4383.15863,0.574136219,0.633181699187291,0.0036765,0.00350737739703,0.003508810754085,0.003505804700625,5888.58787000432,20.6534999956782,2944.28972953387,10.3309554661305,0.499999285827369
"2/28/2017","cNOR Rep 3-5","3",200,3481.168102,0.323546098,-45.28399,-45.08983,-45.62761,15.3822,0.53778,10292.4,16.29,0.48,0.7,3426.06807,107.3306941,0.010543898,6962.336204,3330.063796,0.676453902,0.539717253768824,0.0036765,0.003510013410765,0.003510727240005,0.003508750091835,6937.98378786094,24.352416139062,3468.98942632571,12.178675674291,0.499999644334026
